university,count,lat,lng,place_id,formatted_address
Fielding Graduate University,1,34.42927590000001,-119.7174748,ChIJQzN8KJIU6YAR71fA3_BBj9w,"2020 De La Vina St, Santa Barbara, CA 93105, USA"
Florida Atlantic University,4,26.3737473,-80.10190229999999,ChIJaar4MwMe2YgRavv1IqE-BFI,"777 Glades Rd, Boca Raton, FL 33431, USA"
Florida Institute of Technology,5,28.0639632,-80.621455,ChIJ96ZS_AQS3ogRFT9qXWNXujc,"Florida Institute of Technology, 150 W University Blvd, Melbourne, FL 32901, USA"
Florida International University,2,25.7562465,-80.3755401,ChIJD95PQS6_2YgR8JJr-8eaRq4,"11200 SW 8th St, Miami, FL 33199, USA"
Florida State University,1,30.442087,-84.2979579,ChIJ0x3yeHD17IgRyIZdf-4PG5w,"222 S Copeland St, Tallahassee, FL 32306, USA"
Fontbonne University,1,38.641545,-90.315891,ChIJ4a6r07nK2IcRIUrwZfdC-Qc,"6800 Wydown Blvd, St. Louis, MO 63105, USA"
Fordham University,1,40.8614567,-73.8852771,ChIJkcCAUX7zwokR-D7XXkTPxTk,"Bronx, NY 10458, USA"
Franklin University,2,39.9583587,-82.99034069999999,ChIJoZPQacuIOIgRASBiQHEG4-o,"201 S Grant Ave, Columbus, OH 43215, USA"
Friends University,1,37.6777089,-97.3666702,ChIJV-zLPUThuocR6WXVmIujFdg,"2100 W Univ Ave, Wichita, KS 67213, USA"
Frostburg State University,1,39.6498754,-78.9345609,ChIJrQ2T0i2XyokRJfVYT_a3dAw,"101 Braddock Rd, Frostburg, MD 21532, USA"
Gardner Webb University,1,35.2475249,-81.6706979,ChIJJRhWMDgYV4gRK0Xp_T10Ms8,"110 S Main St, Boiling Springs, NC 28017, USA"
Gardner-Webb University,1,35.2475249,-81.6706979,ChIJJRhWMDgYV4gRK0Xp_T10Ms8,"110 S Main St, Boiling Springs, NC 28017, USA"
George Fox University,1,45.3027486,-122.9704832,ChIJFdIbDn9qlVQRgyFF5Akv0l8,"414 N Meridian St, Newberg, OR 97132, USA"
George Mason University,3,38.8346287,-77.3060567,ChIJvX5Ce2BOtokRRHVV5lOmZtc,"4400 University Dr, Fairfax, VA 22030, USA"
George Washington University,5,38.8997145,-77.0485992,ChIJpXo8DrG3t4kRCKgn3Bv0e9o,"2121 I St NW, Washington, DC 20052, USA"
Georgia Institute of Technology,1,33.7779791,-84.3979638,ChIJ40_D64oE9YgRD8XYOj7QKrU,"Atlanta, GA 30332, USA"
Georgia Southern University,1,32.4206845,-81.7869734,ChIJH5neYdFA-ogRtExwVK1ETn8,"1332 Southern Dr, Statesboro, GA 30458, USA"
Georgia State University,2,33.753068,-84.38528190000001,ChIJueHvE4YD9YgRl25c4JufwUo,"Atlanta, GA 30302, USA"
Gonzaga University,1,47.6658548,-117.4021153,ChIJ--96u-sYnlQR5we5eRYNFts,"502 E Boone Ave, Spokane, WA 99258, USA"
Graceland University,1,40.61636379999999,-93.9263079,ChIJQ1YSZ5jN64cRknr5D7g_H4w,"1 University Pl, Lamoni, IA 50140, USA"
Grambling State University,1,32.5197213,-92.7179736,ChIJQW8xPRjGMYYRSXbCKl2h-iE,"403 Main St, Grambling, LA 71245, USA"
Grand Canyon University,13,33.5100339,-112.1288588,ChIJj7t3FE4TK4cRtSGUMLC_z84,"3300 W Camelback Rd, Phoenix, AZ 85017, USA"
Gwynedd Mercy University,2,40.1979262,-75.2368884,ChIJk_AnaIGexokRxCCxGofH2UI,"1325 Sumneytown Pike, Gwynedd Valley, PA 19437, USA"
Hope Bible Institute and Seminary,1,30.4514677,-91.18714659999999,ChIJy3RfMmc4JIYRHZpXkdvxIyE,"Baton Rouge, LA, USA"
Howard University,1,38.9226843,-77.0194377,ChIJ-c60Vvy3t4kRwnfbyB_H3DI,"2400 6th St NW, Washington, DC 20059, USA"
Illinois State University,2,40.5121009,-88.99476299999999,ChIJc7x4lHFxC4gRNCy2X17B5RA,"100 N University St, Normal, IL 61761, USA"
Indian Institute of Technology Bombay,1,19.1330605,72.9151061,ChIJOcDvifHH5zsRTonFxaTO_Wg,"Main Gate Rd, IIT Area, Powai, Mumbai, Maharashtra 400076, India"
Indiana State University,1,39.4713985,-87.40828069999999,ChIJQ6w2DTplbYgReJ_3x_lCBPM,"200 N 7th St, Terre Haute, IN 47809, USA"
Indiana University,7,39.1682449,-86.52300729999999,ChIJM62JZ8JmbIgRNtQVs4ugmTQ,"107 S Indiana Ave, Bloomington, IN 47405, USA"
Indiana University Bloomington,1,39.1682449,-86.52300729999999,ChIJM62JZ8JmbIgRNtQVs4ugmTQ,"107 S Indiana Ave, Bloomington, IN 47405, USA"
Indiana University of Pennsylvania,1,40.6143979,-79.1610224,ChIJUZyi8NNay4kRpJbUVvTvUp0,"1011 South Drive, Indiana, PA 15705, USA"
Indiana University-Purdue University Indianapolis,1,39.773929,-86.17626059999999,ChIJiwAfRjVXa4gRHjfMlbaZJro,"420 University Blvd, Indianapolis, IN 46202, USA"
Indiana Wesleyan University,4,40.51802139999999,-85.6625813,ChIJa5FVZ9b-FIgRpHOciL4M6Gs,"4201 S Washington St, Marion, IN 46953, USA"
Institute for Doctoral Studies in the Visual Arts,1,43.66142860000001,-70.25175109999999,ChIJ__9LSw6cskwRA8kb50nVDIQ,"96 India St, Portland, ME 04101, USA"
Iona College,1,40.9270597,-73.78634939999999,ChIJvQxst4CNwokRBWezHdgNrxM,"715 North Ave, New Rochelle, NY 10804, USA"
Iowa State University,1,42.0266573,-93.64645159999999,ChIJGVshXgp67ocR6Els7jrt2Nc,"Ames, IA 50011, USA"
Jackson State University,3,32.2968882,-90.2063989,ChIJm_XHtJczKIYRr3zkCgBNSPs,"1400 John R. Lynch St, Jackson, MS 39217, USA"
Johnson University,1,35.9361748,-83.7508469,ChIJDwRSR_APXIgRI78JYVuqQKk,"7900 Johnson Dr, Knoxville, TN 37998, USA"
Kansas State University,1,39.1974437,-96.5847249,ChIJSXQyV43NvYcRdRt537z5Zg0,"Manhattan, KS 66506, USA"
Kaplan University,3,41.5237912,-90.57658699999999,ChIJ8aIS4MU04ocRsB9YVmMf6ug,"Davenport, IA, USA"
